day,bucket,realized_makespan,GA,SBOA,dMShOA,dPSO,best_opt
2020-10-26,25,496.3666666666667,448.72166666666664,451.15166666666664,450.7166666666667,419.9416666666667,419.9416666666667
2020-11-02,25,640.6166666666667,473.35,485.97833333333335,485.09499999999997,482.15,473.35
2020-11-09,25,559.4666666666667,538.03,584.645,582.7983333333334,497.1666666666667,497.1666666666667
2020-11-12,20,545.0,459.6033333333333,471.61333333333334,487.0683333333333,463.95666666666665,459.6033333333333
2020-11-16,15,531.0333333333333,584.7333333333333,583.7783333333333,568.1666666666667,562.9483333333334,562.9483333333334
2020-11-17,20,546.35,675.8016666666667,660.3833333333334,669.7183333333335,647.4216666666667,647.4216666666667
2020-12-02,25,530.15,547.5366666666666,485.9266666666666,560.845,516.795,485.9266666666666
2020-12-14,20,543.45,493.0333333333334,549.8333333333333,521.1266666666667,486.47333333333336,486.47333333333336
2020-12-15,15,527.1666666666666,397.5583333333333,405.27166666666665,426.4966666666666,409.9216666666666,397.5583333333333
2020-12-23,15,437.76666666666665,362.64666666666665,330.37,372.69666666666666,334.95,330.37
2020-12-28,15,499.6833333333333,353.25,345.54333333333335,391.99,368.8933333333333,345.54333333333335
2020-12-29,15,728.8333333333334,310.585,307.67833333333334,345.2883333333333,313.07,307.67833333333334
2021-01-04,15,534.5,487.48999999999995,488.0683333333333,501.82833333333326,491.125,487.48999999999995
2021-01-05,20,527.2666666666667,423.77333333333337,437.4116666666667,424.86,466.445,423.77333333333337
2021-01-06,20,533.7333333333333,518.0916666666667,515.975,548.7816666666666,474.06499999999994,474.06499999999994
2021-03-16,15,540.6666666666666,573.4433333333334,571.71,602.575,598.7416666666667,571.71
2021-03-24,20,516.4,411.6433333333333,433.14666666666665,471.4866666666667,412.275,411.6433333333333
2021-04-06,20,527.05,453.895,443.58000000000004,544.1583333333334,494.805,443.58000000000004
2021-04-07,20,551.15,387.54499999999996,388.085,429.32666666666665,398.36499999999995,387.54499999999996
2021-04-08,15,517.2666666666667,435.7916666666667,413.04833333333335,432.91833333333335,428.99833333333333,413.04833333333335
2021-06-09,15,507.9,409.18833333333333,411.9283333333334,426.8166666666667,387.46999999999997,387.46999999999997
2021-07-12,15,532.8,462.5283333333333,461.53000000000003,481.57666666666665,448.1116666666667,448.1116666666667
2021-07-14,25,516.8833333333333,450.40166666666664,433.8183333333333,430.09666666666664,394.5466666666667,394.5466666666667
2021-07-26,15,568.2333333333333,546.645,570.9233333333334,601.05,594.245,546.645
2021-07-29,15,576.3833333333333,492.34833333333324,506.2533333333333,507.97666666666663,502.21833333333336,492.34833333333324
2021-08-06,15,429.8666666666667,423.31166666666667,421.73,491.43666666666667,434.7116666666667,421.73
2021-08-10,20,572.1166666666667,549.6066666666667,547.6283333333333,578.1083333333333,511.93666666666667,511.93666666666667
2021-09-02,15,597.35,552.8166666666667,575.175,519.9433333333334,539.87,519.9433333333334
2021-09-23,15,631.8833333333333,508.09333333333336,493.1083333333333,507.72666666666663,495.29499999999996,493.1083333333333
2021-09-27,15,594.8,582.1783333333334,573.8283333333334,584.9183333333333,553.695,553.695
2021-10-04,20,624.9166666666666,378.70166666666665,391.0,368.49333333333334,326.43,326.43
2021-10-07,20,492.56666666666666,450.6583333333333,476.96833333333336,486.85333333333335,459.41999999999996,450.6583333333333
